cap,beta,s,rho0,weights,d_sel,slope,n_eq,ap_sel,W_sel,W_nbs,poa,sigma_star
20,4.0,0.4,0.95,equal,0.050000000000000044,-0.47500000056599484,1,0.0,0.5009569839850461,0.742647128433855,1.4824568818787516,0.649886496062978
20,4.0,0.4,0.95,driver-heavy,0.050000000000000044,-0.47500000056599484,1,0.0,0.5373338796592102,0.7947264378224114,1.4790179214577825,0.649886496062978
20,4.0,0.4,0.95,grid-heavy,0.050000000000000044,-0.47500000056599484,1,0.0,0.5310631233483591,0.7400689772931185,1.3935612260685228,0.649886496062978
20,4.0,0.4,0.97,equal,0.030000000000000027,-0.29100000040194196,1,0.0,0.5247674451162381,0.742647128433855,1.4151928351221479,0.3572226117954446
20,4.0,0.4,0.97,driver-heavy,0.030000000000000027,-0.29100000040194196,1,0.0,0.5821638987238483,0.7947264378224114,1.3651249065160478,0.3572226117954446
20,4.0,0.4,0.97,grid-heavy,0.030000000000000027,-0.29100000040194196,1,0.0,0.5307941718636745,0.7400689772931185,1.3942673384951798,0.3572226117954446
20,4.0,0.6,0.9,equal,0.10000000000000009,-0.6000000002059913,1,0.0,0.40533878368544096,0.742647128433855,1.8321640028657578,1.552279764958304
20,4.0,0.6,0.9,driver-heavy,0.10000000000000009,-0.6000000002059913,1,0.0,0.44663439787939097,0.7947264378224114,1.7793668414160504,1.552279764958304
20,4.0,0.6,0.9,grid-heavy,0.10000000000000009,-0.6000000002059913,1,0.0,0.4219198707018859,0.7400689772931185,1.754051014620323,1.552279764958304
20,4.0,0.6,0.95,equal,0.050000000000000044,-0.31666666683860534,1,0.0,0.5009569839850461,0.742647128433855,1.4824568818787516,0.9039511238601723
20,4.0,0.6,0.95,driver-heavy,0.050000000000000044,-0.31666666683860534,1,0.0,0.5373338796592102,0.7947264378224114,1.4790179214577825,0.9039511238601723
20,4.0,0.6,0.95,grid-heavy,0.050000000000000044,-0.31666666683860534,1,0.0,0.5310631233483591,0.7400689772931185,1.3935612260685228,0.9039511238601723
20,4.0,0.6,0.97,equal,0.03000000000000025,-0.19400000011993154,1,0.0,0.5247674451162374,0.742647128433855,1.4151928351221497,0.5049552974588727
20,4.0,0.6,0.97,driver-heavy,0.03000000000000025,-0.19400000011993154,1,0.0,0.5821638987238477,0.7947264378224114,1.3651249065160493,0.5049552974588727
20,4.0,0.6,0.97,grid-heavy,0.03000000000000025,-0.19400000011993154,1,0.0,0.5307941718636741,0.7400689772931185,1.394267338495181,0.5049552974588727
35,1.0,0.25,0.9,equal,0.10000000000000009,-0.3600000000492098,1,0.0,0.4596321078655374,0.7446987324298536,1.6202060728266416,0.5223448543998782
35,1.0,0.25,0.9,driver-heavy,0.10000000000000009,-0.3600000000492098,1,0.0,0.5019709930132933,0.802714346152823,1.5991249640426242,0.5223448543998782
